Feature,Category,Data_Type,Train_Unique_Values,Test_Unique_Values,Train_Missing,Test_Missing
State_ND,ONE_HOT,int64,2,2,0,0
State_NE,ONE_HOT,int64,2,2,0,0
State_NH,ONE_HOT,int64,2,2,0,0
State_NJ,ONE_HOT,int64,2,2,0,0
State_NM,ONE_HOT,int64,2,2,0,0
State_NV,ONE_HOT,int64,2,2,0,0
State_NY,ONE_HOT,int64,2,2,0,0
State_OH,ONE_HOT,int64,2,2,0,0
State_OK,ONE_HOT,int64,2,2,0,0
State_OR,ONE_HOT,int64,2,2,0,0
State_PA,ONE_HOT,int64,2,2,0,0
State_RI,ONE_HOT,int64,2,2,0,0
State_SC,ONE_HOT,int64,2,2,0,0
State_SD,ONE_HOT,int64,2,2,0,0
State_TN,ONE_HOT,int64,2,2,0,0
State_TX,ONE_HOT,int64,2,2,0,0
State_UT,ONE_HOT,int64,2,2,0,0
State_VA,ONE_HOT,int64,2,2,0,0
State_VT,ONE_HOT,int64,2,2,0,0
State_WA,ONE_HOT,int64,2,2,0,0
State_WI,ONE_HOT,int64,2,2,0,0
State_WV,ONE_HOT,int64,2,2,0,0
State_WY,ONE_HOT,int64,2,2,0,0
Timezone_Missing,MISSING_INDICATOR,int64,2,2,0,0
Timezone_US/Central,ONE_HOT,int64,2,2,0,0
Timezone_US/Eastern,ONE_HOT,int64,2,2,0,0
Timezone_US/Mountain,ONE_HOT,int64,2,2,0,0
Timezone_US/Pacific,ONE_HOT,int64,2,2,0,0
Wind_Direction_CALM,ONE_HOT,int64,2,2,0,0
Wind_Direction_Calm,ONE_HOT,int64,2,2,0,0
Wind_Direction_E,ONE_HOT,int64,2,2,0,0
Wind_Direction_ENE,ONE_HOT,int64,2,2,0,0
Wind_Direction_ESE,ONE_HOT,int64,2,2,0,0
Wind_Direction_East,ONE_HOT,int64,2,2,0,0
Wind_Direction_Missing,MISSING_INDICATOR,int64,2,2,0,0
Wind_Direction_N,ONE_HOT,int64,2,2,0,0
Wind_Direction_NE,ONE_HOT,int64,2,2,0,0
Wind_Direction_NNE,ONE_HOT,int64,2,2,0,0
Wind_Direction_NNW,ONE_HOT,int64,2,2,0,0
Wind_Direction_NW,ONE_HOT,int64,2,2,0,0
Wind_Direction_North,ONE_HOT,int64,2,2,0,0
Wind_Direction_S,ONE_HOT,int64,2,2,0,0
Wind_Direction_SE,ONE_HOT,int64,2,2,0,0
Wind_Direction_SSE,ONE_HOT,int64,2,2,0,0
Wind_Direction_SSW,ONE_HOT,int64,2,2,0,0
Wind_Direction_SW,ONE_HOT,int64,2,2,0,0
Wind_Direction_South,ONE_HOT,int64,2,2,0,0
